pipeline,item_id,source_dataset,doc_id,question,gold_answer,predicted_answer,retrieved_pages,target_pages,retrieval_hit_at_k,retrieval_k,ingest_time_s,query_time_s,layout_challenge,qa_source,context_length,pdf_path,page_match_confidence,judge_correct,judge_reasoning
B,financebench_id_03029,financebench,3M_2018_10K,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,$1577.00,"Based on the cash flow statement (Cash Flows from Investing Activities), the FY2018 capital expenditure—represented as **Purchases of property, plant and equipment (PP&E)**—was **$1,577 million** (or an outflow of **$(1,577) million**).","1,2,3",2,True,5,21.213,8.91,dense nested financial tables,financebench-human,24290,data/raw_pdfs/financebench/3M_2018_10K.pdf,1.0,True,"The predicted answer correctly identifies the capital expenditure as $1,577 million, which matches the gold answer of $1577.00 (implying millions based on the question's context)."
B,financebench_id_03282,financebench,NETFLIX_2017_10K,What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.,$5466.00,"Based on the Consolidated Balance Sheets, Netflix's total current liabilities as of December 31, 2017, were **$5,466,312 thousand**, which is **$5,466.312 million** (or approximately **$5,466.31 million**).","1,2,3",2,True,5,13.551,14.144,dense nested financial tables,financebench-human,21788,data/raw_pdfs/financebench/NETFLIX_2017_10K.pdf,1.0,False,"The gold answer is $5466.00 million, while the predicted answer states $5,466.312 million (or approximately $5,466.31 million). These values are numerically different."
B,financebench_id_03620,financebench,PEPSICO_2022_10K,What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.,$9068.00,"To determine the FY2022 unadjusted EBITDA less capex for PepsiCo, we extract the relevant figures from the Consolidated Statement of Income and Consolidated Statement of Cash Flows:

1. **Operating Profit (Operating Income):** $11,512 million  
2. **Depreciation and Amortization:** $2,763 million  
3. **Capital Spending (Capex):** $5,207 million  

### **Calculations:**
* **Unadjusted EBITDA:**  
  $$\text{Operating Profit} + \text{Depreciation and Amortization} = \$11,512\text{ million} + \$2,763\text{ million} = \$14,275\text{ million}$$

* **Unadjusted EBITDA less Capex:**  
  $$\$14,275\text{ million} - \$5,207\text{ million} = \$9,068\text{ million}$$

**Answer:**  
**$9,068 million**","1,2,3,4,5","2,4",True,5,12.148,8.843,dense nested financial tables,financebench-human,18271,data/raw_pdfs/financebench/PEPSICO_2022_10K.pdf,1.0,True,"The predicted answer of $9,068 million exactly matches the gold answer of $9068.00. The calculation steps provided in the predicted answer are correct and follow the definitions given in the question."
B,financebench_id_05915,financebench,CVSHEALTH_2018_10K,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,17.98,"To calculate the FY2018 fixed asset turnover ratio for CVS Health:

1. **FY2018 Total Revenues:** $194,579 million *(from the Consolidated Statements of Operations)*
2. **Property and equipment, net:** *(from the Consolidated Balance Sheets)*
   - **At December 31, 2018:** $11,349 million
   - **At December 31, 2017:** $10,292 million
3. **Average Property and equipment, net:** 
   $$\frac{\$11,349 + \$10,292}{2} = \$10,820.5\text{ million}$$

4. **Fixed Asset Turnover Ratio:**
   $$\text{Fixed Asset Turnover Ratio} = \frac{\$194,579}{\$10,820.5} \approx 17.98$$

The FY2018 fixed asset turnover ratio for CVS Health is **17.98**.","1,2,3,4","2,4",True,5,11.93,9.357,dense nested financial tables,financebench-human,20531,data/raw_pdfs/financebench/CVSHEALTH_2018_10K.pdf,0.591,True,"The predicted answer correctly calculates the fixed asset turnover ratio using the provided formula and values, arriving at 17.98, which matches the gold answer."
B,financebench_id_00080,financebench,PAYPAL_2022_10K,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",Yes. Paypal has a positive working capital of $ 1.6Bn as of FY2022 end.,"Based on the provided FY2022 Consolidated Balance Sheet:

* **Total current assets:** $57,517 million
* **Total current liabilities:** $45,101 million

**Working Capital:** $57,517 million − $45,101 million = **$12,416 million**

Yes, PayPal has **positive working capital** of $12,416 million as of December 31, 2022. 

*(Note: The provided context does not contain any discussion or explanation regarding whether working capital is or is not a useful or relevant metric for the company.)*","1,2,3",2,True,5,11.73,10.048,dense nested financial tables,financebench-human,16624,data/raw_pdfs/financebench/PAYPAL_2022_10K.pdf,1.0,False,"The predicted answer correctly states that PayPal has positive working capital and provides a calculation based on current assets and liabilities. However, the specific value of working capital ($12,416 million or $12.416 Bn) does not match the value provided in the gold answer ($1.6Bn)."
B,financebench_id_00206,financebench,JPMORGAN_2022_10K,"Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Since JPM is a financial institution, gross margin is not a relevant metric.",Cannot determine from provided context.,"2,3",2,True,5,11.225,8.558,dense nested financial tables,financebench-human,7362,data/raw_pdfs/financebench/JPMORGAN_2022_10K.pdf,0.95,False,The gold answer explicitly states that gross margin is not a relevant metric for JPM and provides a reason. This is a definitive answer to the conditional part of the question. The predicted answer 'Cannot determine from provided context' contradicts the gold answer's ability to determine and explain.
B,financebench_id_00215,financebench,VERIZON_2022_10K,Is Verizon a capital intensive business based on FY 2022 data?,"Yes. Verizon's capital intensity ratio was approximately 2.774729. This means that it took approximately $2.77 of assets to generate $1 of revenue and thus, Verizon can be considered capital intensive.","Based on the provided FY 2022 data, **yes**, Verizon is a capital-intensive business, as evidenced by the following figures:

* **Capital Expenditures:** In 2022, Verizon invested **$23,087 million** ($23.087 billion) in capital expenditures (including capitalized software), which accounts for a substantial portion of its $37,141 million in operating cash flows.
* **Property, Plant, and Equipment (PP&E):** As of December 31, 2022, Verizon held **$307,689 million** in gross PP&E (**$107,434 million** net of accumulated depreciation), representing a significant portion of its **$379,680 million** in total assets.
* **Depreciation and Amortization:** Depreciation and amortization expense was **$17,099 million** for 2022.","1,4,5,6","2,5",True,5,21.734,9.574,dense nested financial tables,financebench-human,18692,data/raw_pdfs/financebench/VERIZON_2022_10K.pdf,1.0,True,"Both the gold and predicted answers correctly state 'Yes' to the question. While the predicted answer uses different supporting financial metrics (Capital Expenditures, PP&E, Depreciation and Amortization) rather than a specific capital intensity ratio, these figures strongly support the conclusion that Verizon is a capital-intensive business, aligning with the gold answer's verdict."
B,financebench_id_00521,financebench,ULTABEAUTY_2023_10K,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Ulta Beauty did not make any acquisitions in FY2023 and FY2022.,"Based on the provided Consolidated Statements of Cash Flows, Ulta Beauty had no acquisitions (listed as ""—"" for ""Acquisitions, net of cash acquired"") in the fiscal years ended January 28, 2023 and January 29, 2022.","1,2,3",2,True,5,14.197,9.224,dense nested financial tables,financebench-human,8446,data/raw_pdfs/financebench/ULTABEAUTY_2023_10K.pdf,1.0,True,"Both the gold and predicted answers state that Ulta Beauty did not make any acquisitions in FY2023 and FY2022. The predicted answer provides additional context regarding the source and specific dates, but the core information matches the gold answer."
B,doclaynet_df4bfdc876fd,doclaynet,scientific_articles_1001.0788_p6,"According to Equation (42), what is the expression given for the vierbein component \(\tilde{e}^\mu_2(x)\)?","(0, 0, Σ, 0)","Based on Equation (42) in the provided context, the expression for the vierbein component $\bar{e}_2^{\ \mu}(x)$ is:

$$(0, 0, \Sigma, 0)$$",1,1,True,5,7.553,8.401,multi-column scientific layout with figures,gemini-generated,7277,data/raw_pdfs/doclaynet/scientific_articles_1001.0788_p6.pdf,,True,"The predicted answer explicitly states the expression as (0, 0, Σ, 0), which is identical to the gold answer."
B,docvqa_001,docvqa,docvqa_001,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,Cannot determine from provided context.,1,1,True,5,7.006,8.601,form with spatial field-value relationships,docvqa-human,4250,data/raw_pdfs/docvqa/docvqa_001.pdf,,False,"The gold answer provides a specific numerical value (0.28), indicating that the information is determinable. The predicted answer states that it 'Cannot determine from provided context', which directly contradicts the gold answer."
