pipeline,item_id,source_dataset,doc_id,question,gold_answer,predicted_answer,retrieved_pages,target_pages,retrieval_hit_at_k,retrieval_k,ingest_time_s,query_time_s,layout_challenge,qa_source,context_length,pdf_path,page_match_confidence
A,financebench_id_02608,financebench,BESTBUY_2017_10K,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.",2.8%,Cannot determine from provided context.,"1,3",2,False,5,1.618,58.673,dense nested financial tables,financebench-human,4684,data/raw_pdfs/financebench/BESTBUY_2017_10K.pdf,0.716
A,financebench_id_02981,financebench,CORNING_2021_10K,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.",10.3%,Cannot determine from provided context.,"1,3",2,False,5,0.844,19.635,dense nested financial tables,financebench-human,4899,data/raw_pdfs/financebench/CORNING_2021_10K.pdf,0.595
A,financebench_id_02987,financebench,ACTIVISIONBLIZZARD_2019_10K,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,24.26,Cannot determine from provided context.,"1,4","2,3",False,5,0.864,21.848,dense nested financial tables,financebench-human,3919,data/raw_pdfs/financebench/ACTIVISIONBLIZZARD_2019_10K.pdf,0.98
A,financebench_id_03029,financebench,3M_2018_10K,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,$1577.00,Cannot determine from provided context.,"1,3",2,False,5,1.344,47.326,dense nested financial tables,financebench-human,3628,data/raw_pdfs/financebench/3M_2018_10K.pdf,1.0
A,financebench_id_03031,financebench,LOCKHEEDMARTIN_2021_10K,What is Lockheed Martin's FY2021 net working capital? Define net working capital as total current assets less total current liabilities. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the balance sheet.,$5818.00,Cannot determine from provided context.,"1,3",2,False,5,0.627,22.546,dense nested financial tables,financebench-human,5053,data/raw_pdfs/financebench/LOCKHEEDMARTIN_2021_10K.pdf,1.0
A,financebench_id_03069,financebench,AMD_2015_10K,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",4.2%,Cannot determine from provided context.,"1,6","2,5",False,5,1.091,45.335,dense nested financial tables,financebench-human,3760,data/raw_pdfs/financebench/AMD_2015_10K.pdf,1.0
A,financebench_id_03282,financebench,NETFLIX_2017_10K,What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.,$5466.00,Cannot determine from provided context.,"1,3",2,False,5,0.789,14.297,dense nested financial tables,financebench-human,4544,data/raw_pdfs/financebench/NETFLIX_2017_10K.pdf,1.0
A,financebench_id_03471,financebench,GENERALMILLS_2020_10K,"By drawing conclusions from the information stated only in the statement of financial position, what is General Mills's FY2020 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",0.68,Cannot determine from provided context.,"1,3",2,False,5,0.794,26.004,dense nested financial tables,financebench-human,2911,data/raw_pdfs/financebench/GENERALMILLS_2020_10K.pdf,1.0
A,financebench_id_03473,financebench,COCACOLA_2017_10K,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,0.01,Cannot determine from provided context.,"1,5","2,4",False,5,1.614,30.306,dense nested financial tables,financebench-human,1966,data/raw_pdfs/financebench/COCACOLA_2017_10K.pdf,1.0
A,financebench_id_03531,financebench,NIKE_2019_10K,"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions.",$16525.00,Cannot determine from provided context.,"1,3",2,False,5,0.72,37.24,dense nested financial tables,financebench-human,4793,data/raw_pdfs/financebench/NIKE_2019_10K.pdf,1.0
