pipeline,item_id,source_dataset,doc_id,question,gold_answer,predicted_answer,retrieved_pages,target_pages,retrieval_hit_at_k,retrieval_k,ingest_time_s,query_time_s,layout_challenge,qa_source,context_length,pdf_path,page_match_confidence,judge_correct,judge_reasoning
C,financebench_id_03029,financebench,3M_2018_10K,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,$1577.00,"Based strictly on the provided document page images, the FY2018 capital expenditure amount for 3M is 1,577 USD millions. This is found under ""Cash Flows from Investing Activities"" as ""Purchases of property, plant and equipment (PP&E)"" for the year 2018.","1,2,3",2,True,5,12.783,9.522,dense nested financial tables,financebench-human,549,data/raw_pdfs/financebench/3M_2018_10K.pdf,1.0,True,"The predicted answer correctly identifies the capital expenditure amount as 1,577 USD millions, which matches the gold answer of $1577.00. The additional context provided in the predicted answer is accurate but does not detract from the correctness of the numerical value."
C,financebench_id_03282,financebench,NETFLIX_2017_10K,What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.,$5466.00,"Based on the Consolidated Balance Sheets on the first provided page, for the year ended December 31, 2017:

*   **Total current liabilities** is listed as **5,460,784** (in thousands).

To convert this to USD millions, we divide by 1,000:
5,460,784 thousands / 1,000 = 5,460.784 millions

Netflix's year end FY2017 total current liabilities is **5,460.784 USD millions**.","1,2,3",2,True,5,9.041,9.889,dense nested financial tables,financebench-human,624,data/raw_pdfs/financebench/NETFLIX_2017_10K.pdf,1.0,False,"The predicted answer of 5,460.784 USD millions does not match the gold answer of 5466.00 USD millions. The values are numerically different."
C,financebench_id_03620,financebench,PEPSICO_2022_10K,What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.,$9068.00,"To determine the FY2022 unadjusted EBITDA less capex for PepsiCo, we will use the provided definitions and financial statements:

**1. Calculate Unadjusted EBITDA for FY2022:**
*   **Unadjusted operating income:** From the Consolidated Statement of Income (Page 2), ""Operating Profit"" for 2022 is **$11,512 million**.
*   **Depreciation and amortization:** From the Consolidated Statement of Cash Flows (Page 3), ""Depreciation and amortization"" for 2022 is **$2,763 million**.

    Unadjusted EBITDA = Unadjusted Operating Income + Depreciation and Amortization
    Unadjusted EBITDA = $11,512 million + $2,763 million = **$14,275 million**

**2. Identify Capital Expenditures (Capex) for FY2022:**
*   From the Consolidated Statement of Cash Flows (Page 3), under ""Investing Activities,"" ""Capital spending"" for 2022 is **$(5,207) million**. The negative sign indicates a cash outflow, so capex is $5,207 million.

**3. Calculate Unadjusted EBITDA less Capex for FY2022:**
    Unadjusted EBITDA less Capex = Unadjusted EBITDA - Capex
    Unadjusted EBITDA less Capex = $14,275 million - $5,207 million = **$9,068 million**

The FY2022 unadjusted EBITDA less capex for PepsiCo is **$9,068 million**.","1,2,3,4,5","2,4",True,5,8.712,11.461,dense nested financial tables,financebench-human,624,data/raw_pdfs/financebench/PEPSICO_2022_10K.pdf,1.0,True,"The predicted answer's final calculated value of $9,068 million exactly matches the gold answer of $9068.00."
C,financebench_id_05915,financebench,CVSHEALTH_2018_10K,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,17.98,"To determine the FY2018 fixed asset turnover ratio for CVS Health, we need the following values:
1.  **FY2018 revenue:** From the ""Consolidated Statements of Operations"" (Page 4), under ""Total revenues"" for 2018, the value is 194,579 (in millions).
2.  **Property and equipment, net (PP&E) for FY2017:** From the ""Consolidated Balance Sheets"" (Page 1), under ""Assets"" and ""Property and equipment, net"" for 2017, the value is 10,292 (in millions).
3.  **Property and equipment, net (PP&E) for FY2018:** From the ""Consolidated Balance Sheets"" (Page 1), under ""Assets"" and ""Property and equipment, net"" for 2018, the value is 11,349 (in millions).

Now, let's calculate the average PP&E between FY2017 and FY2018:
Average PP&E = (PP&E FY2017 + PP&E FY2018) / 2
Average PP&E = (10,292 + 11,349) / 2
Average PP&E = 21,641 / 2
Average PP&E = 10,820.5 (in millions)

Finally, calculate the fixed asset turnover ratio:
Fixed asset turnover ratio = FY2018 revenue / Average PP&E
Fixed asset turnover ratio = 194,579 / 10,820.5
Fixed asset turnover ratio ≈ 18.000046209

Rounding the answer to two decimal places:
Fixed asset turnover ratio = 18.00

The final answer is $\boxed{18.00}$","1,2,3,4,5","2,4",True,5,12.337,12.731,dense nested financial tables,financebench-human,654,data/raw_pdfs/financebench/CVSHEALTH_2018_10K.pdf,0.591,False,"The predicted answer calculates the ratio as 18.00, while the gold answer is 17.98. Although the predicted answer's calculation steps are correct based on the numbers it extracted and the formula provided, its final rounded answer does not match the gold answer."
C,financebench_id_00080,financebench,PAYPAL_2022_10K,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",Yes. Paypal has a positive working capital of $ 1.6Bn as of FY2022 end.,"Based on the FY2022 data from the ""PayPal Holdings, Inc. CONSOLIDATED BALANCE SHEETS"" on page 1 of the provided document:

1.  **Calculate Working Capital for FY2022:**
    *   Total current assets (2022) = $57,517 million
    *   Total current liabilities (2022) = $45,341 million

    Working Capital = Total Current Assets - Total Current Liabilities
    Working Capital = $57,517 million - $45,341 million
    Working Capital = $12,176 million

    Since $12,176 million is a positive value, **Paypal has positive working capital based on FY2022 data.**

2.  The provided document pages do not contain any information stating that working capital is not a useful or relevant metric for this company, nor do they provide an explanation as to why it might not be.","1,2,3",2,True,5,8.093,11.318,dense nested financial tables,financebench-human,609,data/raw_pdfs/financebench/PAYPAL_2022_10K.pdf,1.0,True,"The predicted answer correctly identifies that PayPal has positive working capital based on FY2022 data. It provides a detailed and accurate calculation ($57,517 million - $45,341 million = $12,176 million) which aligns with actual FY2022 financial statements. It also correctly addresses the secondary part of the question regarding the relevance of working capital. The gold answer, while agreeing on the positive working capital, states an incorrect value ($1.6Bn) compared to the actual data and the predicted answer's correct calculation."
C,financebench_id_00206,financebench,JPMORGAN_2022_10K,"Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Since JPM is a financial institution, gross margin is not a relevant metric.","Gross margins are generally **not a relevant metric** for a financial holding company like JPMorgan Chase & Co. (JPM).

Here's why:
*   **Definition of Gross Margin:** Gross margin is typically calculated as (Revenue - Cost of Goods Sold) / Revenue. This metric is most applicable to companies that manufacture or sell physical goods, where there is a clear ""cost of goods sold"" directly tied to the production or acquisition of those goods.
*   **Financial Institution Structure:** JPM, as described in the document, is a financial holding company offering a wide range of services including investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, and asset management. Its revenue streams primarily come from net interest income (the difference between interest earned on assets like loans and interest paid on liabilities like deposits), non-interest income (fees, commissions, trading revenue, etc.).
*   **Cost Structure:** JPM's primary costs include interest expense, non-interest expense (such as salaries, technology, marketing, occupancy, professional services), and provisions for credit losses. These do not directly equate to a ""Cost of Goods Sold"" line item. Financial institutions do not have ""goods"" in the traditional sense that incur a direct production cost to be deducted from revenue to arrive at a ""gross profit."" Instead, they focus on metrics like net interest margin, efficiency ratios, return on assets/equity, and ultimately, net income.

Therefore, discussing the historical consistency of JPM's gross margins is not applicable, and the provided document pages do not contain any information or financial data to determine such a metric or its consistency.","1,2,3",2,True,5,11.501,13.744,dense nested financial tables,financebench-human,639,data/raw_pdfs/financebench/JPMORGAN_2022_10K.pdf,0.95,True,"Both the gold and predicted answers state that gross margin is not a relevant metric for JPM. The predicted answer also provides a detailed explanation, which was requested in the original question."
C,financebench_id_00215,financebench,VERIZON_2022_10K,Is Verizon a capital intensive business based on FY 2022 data?,"Yes. Verizon's capital intensity ratio was approximately 2.774729. This means that it took approximately $2.77 of assets to generate $1 of revenue and thus, Verizon can be considered capital intensive.","Yes, Verizon appears to be a capital-intensive business based on FY 2022 data.

Key indicators from the provided documents for FY 2022:
*   **Capital expenditures (from Cash Flows from Investing Activities):** $23,087 million (Page 2, Consolidated Statements of Cash Flows).
*   **Property, plant and equipment, net (from Consolidated Balance Sheets):** $197,434 million (Page 4, Consolidated Balance Sheets).
*   **Textual confirmation:** Page 1 states, ""For the year ended December 31, 2022, investments exceeded $31.1 billion for capital expenditures."" and mentions investments in ""wireless networks, high-speed fiber and other advanced technologies.""","1,2,4,5,6","2,5",True,5,10.51,11.876,dense nested financial tables,financebench-human,624,data/raw_pdfs/financebench/VERIZON_2022_10K.pdf,1.0,True,"Both the gold and predicted answers correctly state 'Yes' to the question. The predicted answer provides relevant financial data (capital expenditures, property, plant and equipment) and textual confirmation from the documents to support its conclusion, which is semantically equivalent to the gold answer's conclusion, even if it doesn't calculate the exact capital intensity ratio."
C,financebench_id_00521,financebench,ULTABEAUTY_2023_10K,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Ulta Beauty did not make any acquisitions in FY2023 and FY2022.,"Based strictly on the provided document pages:

For FY2022 (fiscal year ended January 28, 2023), the ""Consolidated Statements of Cash Flows"" indicates ""Acquisitions, net of cash acquired"" of $(2,458) thousand. However, the document does not specify what these acquisitions were or if they were considered major.

For FY2023, the provided documents do not contain financial data for this period regarding acquisitions.

Therefore, the specific major acquisitions cannot be determined from the provided context.","1,2,3",2,True,5,8.365,12.073,dense nested financial tables,financebench-human,669,data/raw_pdfs/financebench/ULTABEAUTY_2023_10K.pdf,1.0,False,"The Gold Answer states Ulta Beauty did not make any acquisitions in FY2023 and FY2022. However, the Predicted Answer identifies an acquisition amount of $(2,458) thousand for FY2022, which contradicts the Gold Answer's claim of no acquisitions for that fiscal year. While the Predicted Answer correctly notes it cannot determine if this acquisition was major, the existence of an acquisition means the Gold Answer's statement of 'no acquisitions' is incorrect for FY2022."
C,doclaynet_df4bfdc876fd,doclaynet,scientific_articles_1001.0788_p6,"According to Equation (42), what is the expression given for the vierbein component \(\tilde{e}^\mu_2(x)\)?","(0, 0, Σ, 0)","According to Equation (42), the expression given for the vierbein component \(\tilde{e}^\mu_2(x)\) is:
\(\tilde{e}^\mu_2(x) = (0,0, \Sigma, 0)\)",1,1,True,5,7.294,9.311,multi-column scientific layout with figures,gemini-generated,864,data/raw_pdfs/doclaynet/scientific_articles_1001.0788_p6.pdf,,True,"The predicted answer explicitly states the correct expression, (0,0, Σ, 0), which perfectly matches the gold answer. The additional introductory text in the predicted answer does not detract from its correctness."
C,docvqa_001,docvqa,docvqa_001,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,"Based on the provided graph:
1.  Locate the year 1975 on the x-axis.
2.  Follow the solid line (representing 'ACTUAL') upwards from 1975.
3.  The solid line intersects the horizontal line at 0.24.

Therefore, the 'actual' value per 1000 during the year 1975 is 0.24.",1,1,True,5,6.604,10.073,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_001.pdf,,False,"The gold answer states the 'actual' value for 1975 is 0.28, while the predicted answer concludes it is 0.24. These values do not match."
